id,key,value,type
12427024,name_direction_suffix,N,tiger
12427024,name_type,Ave,tiger
12427024,reviewed,no,tiger
12427024,zip_left,29577,tiger
12427024,zip_right,29577,tiger
12427092,highway,residential,regular
12427092,name,14th Avenue South,regular
12427092,cfcc,A41,tiger
12427092,county,"Horry, SC",tiger
12427092,name_base,14th,tiger
12427092,name_direction_suffix,S,tiger
12427092,name_type,Ave,tiger
12427092,reviewed,no,tiger
12427092,zip_left,29577,tiger
12427092,zip_right,29577,tiger
12427204,highway,residential,regular
12427204,name,Periwinkle Place,regular
12427204,cfcc,A41,tiger
12427204,county,"Horry, SC",tiger
12427204,name_base,Periwinkle,tiger
12427204,name_type,Pl,tiger
12427204,reviewed,no,tiger
12427208,highway,residential,regular
12427208,name,Southpark Drive,regular
12427208,cfcc,A41,tiger
12427208,county,"Horry, SC",tiger
12427208,name_base,Southpark,tiger
12427208,name_type,Dr,tiger
12427208,reviewed,no,tiger
12427208,zip_left,29577,tiger
12427208,zip_left_1,29577,tiger
12427208,zip_right,29577,tiger
12427256,highway,residential,regular
12427256,name,Virgo Lane,regular
12427256,cfcc,A41,tiger
12427256,county,"Horry, SC",tiger
12427256,name_base,Virgo,tiger
12427256,name_type,Ln,tiger
12427256,reviewed,no,tiger
12427256,zip_left,29575,tiger
12427256,zip_right,29575,tiger
12427451,highway,residential,regular
12427451,name,Leon Circle,regular
12427451,cfcc,A41,tiger
12427451,county,"Horry, SC",tiger
12427451,name_base,Leon,tiger
12427451,name_type,Cir,tiger
12427451,reviewed,no,tiger
12427451,zip_left,29577,tiger
12427451,zip_right,29577,tiger
12427458,highway,residential,regular
12427458,name,Martin Street,regular
12427458,cfcc,A41,tiger
12427458,county,"Horry, SC",tiger
12427458,name_base,Martin,tiger
12427458,name_type,St,tiger
12427458,reviewed,no,tiger
12427458,zip_left,29577,tiger
12427458,zip_right,29577,tiger
12427470,highway,residential,regular
12427470,name,Redwood Avenue,regular
12427470,cfcc,A41,tiger
12427470,county,"Horry, SC",tiger
12427470,name_base,Redwood,tiger
12427470,name_type,Ave,tiger
12427470,reviewed,no,tiger
12427470,zip_left,29577,tiger
12427470,zip_right,29577,tiger
12427482,highway,residential,regular
12427482,name,Dorman Circle,regular
12427482,cfcc,A41,tiger
12427482,county,"Horry, SC",tiger
12427482,name_base,Dorman,tiger
12427482,name_type,Cir,tiger
12427482,reviewed,no,tiger
12427482,zip_left,29577,tiger
12427482,zip_right,29577,tiger
12427820,highway,residential,regular
12427820,name,Willow Lane,regular
12427820,cfcc,A41,tiger
12427820,county,"Horry, SC",tiger
12427820,name_base,Willow,tiger
12427820,name_type,Ln,tiger
12427820,reviewed,no,tiger
12427820,zip_left,29575,tiger
12427820,zip_right,29575,tiger
12427830,highway,tertiary,regular
12427830,name,Broadway,regular
12427830,ref,S-26-15,regular
12427830,source,SCDOT,regular
12427830,cfcc,A41,tiger
12427830,county,"Horry, SC",tiger
12427830,name_base,Broadway,tiger
12427830,name_type,St,tiger
12427830,reviewed,no,tiger
12427830,zip_left,29577,tiger
12427830,zip_right,29577,tiger
12427851,highway,residential,regular
12427851,name,18th Avenue North,regular
12427851,cfcc,A41,tiger
