b'id',b'user',b'uid',b'version',b'changeset',b'timestamp'
b'12435879',b'bot-mode',b'451693',b'2',b'14515513',b'2013-01-03T17:41:25Z'
b'12435979',b'TheMBDude',b'4176310',b'6',b'43455385',b'2016-11-07T01:55:33Z'
b'12436012',b'RichRico',b'2219338',b'3',b'44090184',b'2016-12-01T16:22:15Z'
b'12436053',b'bot-mode',b'451693',b'3',b'14515513',b'2013-01-03T17:41:28Z'
b'12436055',b'DaveHansenTiger',b'7168',b'1',b'505923',b'2007-11-14T05:42:24Z'
b'12436077',b'dannykath',b'2226712',b'5',b'43929837',b'2016-11-24T19:38:29Z'
b'12436223',b'TheMBDude',b'4176310',b'5',b'43455385',b'2016-11-07T01:55:33Z'
b'12436235',b'bot-mode',b'451693',b'3',b'14515513',b'2013-01-03T17:41:32Z'
b'12436282',b'bot-mode',b'451693',b'3',b'14515513',b'2013-01-03T17:41:33Z'
b'12436317',b'bot-mode',b'451693',b'2',b'14515513',b'2013-01-03T17:41:35Z'
b'12436360',b'beweta',b'152074',b'3',b'31594655',b'2015-05-30T22:12:05Z'
b'12436372',b'bot-mode',b'451693',b'2',b'14419367',b'2012-12-26T22:56:09Z'
b'12436423',b'Omnific',b'1408522',b'4',b'20879632',b'2014-03-03T03:18:38Z'
b'12436439',b'Peter14',b'13832',b'2',b'14218993',b'2012-12-09T21:19:36Z'
b'12436444',b'Omnific',b'1408522',b'2',b'21232540',b'2014-03-21T19:12:02Z'
b'12436454',b'TheMBDude',b'4176310',b'7',b'43494732',b'2016-11-08T18:15:45Z'
b'12436470',b'bdiscoe',b'402624',b'3',b'20761095',b'2014-02-24T22:52:14Z'
b'12436488',b'Omnific',b'1408522',b'3',b'20902168',b'2014-03-04T03:27:03Z'
b'12436493',b'bot-mode',b'451693',b'2',b'14515513',b'2013-01-03T17:41:41Z'
b'12436506',b'Omnific',b'1408522',b'5',b'22535556',b'2014-05-25T04:30:34Z'
b'12436543',b'TheMBDude',b'4176310',b'3',b'51186649',b'2017-08-16T20:48:25Z'
b'12436559',b'bot-mode',b'451693',b'2',b'14515513',b'2013-01-03T17:41:42Z'
b'12436613',b'bot-mode',b'451693',b'2',b'14515513',b'2013-01-03T17:41:44Z'
b'12436629',b'Omnific',b'1408522',b'3',b'20879697',b'2014-03-03T03:25:52Z'
b'12436661',b'bot-mode',b'451693',b'2',b'14460838',b'2012-12-30T09:06:37Z'
b'12436714',b'RichRico',b'2219338',b'10',b'44091455',b'2016-12-01T17:12:55Z'
b'12436729',b'bot-mode',b'451693',b'3',b'14515513',b'2013-01-03T17:41:48Z'
b'12436772',b'TheMBDude',b'4176310',b'10',b'43987590',b'2016-11-27T17:02:37Z'
b'12436802',b'Omnific',b'1408522',b'7',b'21269567',b'2014-03-23T17:58:28Z'
